,repo,state,title,created_at,closed_at,merged_at
1,scottyab/rootbeer,closed,Update library version in documentation to 0.1.0,2021-06-07 08:47:37,2021-06-07 08:50:08,2021-06-07 08:50:08
2,scottyab/rootbeer,closed,[Fix] Shared object name change,2021-05-22 15:53:11,2021-05-24 07:35:11,2021-05-24 07:35:11
3,scottyab/rootbeer,closed,Migrate to Cmake and ensure `-fstack-protector-all` is being applied,2021-05-22 13:39:15,2021-05-22 13:42:22,2021-05-22 13:42:21
5,scottyab/rootbeer,closed,add advice to use background thread in README,2020-07-27 12:59:42,2020-07-27 18:50:10,2020-07-27 18:50:10
6,scottyab/rootbeer,closed,Delete strings.xml,2020-07-22 07:40:31,2020-07-22 11:25:49,2020-07-22 11:25:49
7,scottyab/rootbeer,closed,Fixed documentation to fix issue #144,2020-07-17 07:56:42,2020-07-21 13:10:45,2020-07-21 13:10:45
8,scottyab/rootbeer,closed,Add additional dangerous apps packages,2020-07-15 18:42:34,2020-07-15 20:47:50,2020-07-15 20:47:50
9,scottyab/rootbeer,closed,Update RootBeer.java,2020-07-14 12:24:29,2020-07-21 13:19:45,2020-07-21 13:19:45
10,scottyab/rootbeer,closed,Add fstack protector.,2020-04-13 16:18:48,2020-07-17 08:05:45,2020-07-17 08:05:44
11,scottyab/rootbeer,closed,Convert sample to kotlin,2020-03-16 17:15:19,2021-05-08 14:18:37,2021-05-08 14:18:37
12,scottyab/rootbeer,closed,Fix uploadArchives to publish to Sonatype (Aka Maven Ceneral),2020-03-16 10:16:01,2020-03-16 11:44:08,2020-03-16 11:44:08
13,scottyab/rootbeer,closed,Support for Android TV devices,2020-03-11 06:54:16,2020-03-11 09:28:41,2020-03-11 09:28:41
15,scottyab/rootbeer,closed,Fix issue with jitpack,2020-02-08 21:34:44,2020-02-08 21:35:01,2020-02-08 21:35:01
16,scottyab/rootbeer,closed,Feature/release 0.0.8,2020-02-04 14:32:40,2020-02-07 14:44:12,2020-02-07 14:44:12
17,scottyab/rootbeer,closed,Added test for trailing slash on packages,2020-01-30 16:13:36,2020-02-03 20:42:27,2020-02-03 20:42:27
18,scottyab/rootbeer,closed,Added more root pacakges in,2020-01-30 13:09:28,2020-01-30 16:17:57,2020-01-30 16:17:57
19,scottyab/rootbeer,closed,Added method to get paths that uses the system variable $PATH and com…,2020-01-28 14:08:29,2020-01-30 13:05:04,2020-01-30 13:05:04
20,scottyab/rootbeer,closed,Feature/remove busybox default check,2020-01-28 12:52:32,2020-01-30 13:05:21,2020-01-30 13:05:21
21,scottyab/rootbeer,closed,Fixed typo in word 'writable',2019-12-04 19:20:17,2019-12-09 10:32:19,2019-12-09 10:32:19
22,scottyab/rootbeer,closed,root without binary device,2019-11-25 08:54:18,2019-11-29 17:15:51,2019-11-29 17:15:51
23,scottyab/rootbeer,closed,Updated toolchain and converted to AndroidX,2019-11-16 02:57:17,2020-02-03 20:42:41,2020-02-03 20:42:41
27,scottyab/rootbeer,closed,Fixed typo,2019-05-02 15:28:29,2019-06-10 10:29:10,2019-06-10 10:29:10
29,scottyab/rootbeer,closed,Update compile to implementation,2018-11-04 05:04:47,2018-11-04 09:36:21,2018-11-04 09:36:21
33,Skyscanner/backpack,closed,[KOA-4546] Update dialog component to use new spacing grid,2021-10-04 13:35:36,2021-10-06 15:43:40,2021-10-06 15:43:40
34,Skyscanner/backpack,closed,NO-JIRA: Update spelling of withLoadingBehavior in docs,2021-10-04 12:24:42,2021-10-05 11:11:23,2021-10-05 11:11:23
35,Skyscanner/backpack,closed,[KOA-4759]: Add new props to support ranges,2021-10-01 16:42:31,2021-10-08 11:25:40,2021-10-08 11:25:40
38,Skyscanner/backpack,closed,[KOA-3656] Update modal component to use new spacing grid,2021-09-30 08:22:25,2021-10-06 16:19:19,2021-10-06 16:19:19
39,Skyscanner/backpack,closed,Bump i from 0.3.6 to 0.3.7,2021-09-29 18:00:38,2021-10-01 09:00:43,2021-10-01 09:00:43
40,Skyscanner/backpack,closed,[KOA-4544] Update card component to use new grid,2021-09-27 16:21:57,2021-09-30 08:24:00,2021-09-30 08:24:00
41,Skyscanner/backpack,closed,Bump tmpl from 1.0.4 to 1.0.5,2021-09-21 12:59:10,2021-10-01 09:01:02,2021-10-01 09:01:02
42,Skyscanner/backpack,closed,[KOA-3659]: Update component to new grid and wrap fields,2021-09-09 13:50:09,2021-09-09 16:57:04,2021-09-09 16:57:04
43,Skyscanner/backpack,closed,[NO JIRA]: Updating propTypes package and fixing incorrect proptypes,2021-09-08 16:59:47,2021-09-10 12:15:51,2021-09-10 12:15:51
